airline,flight_number,departure,destination,date,price,seats_available
Turkish Airlines,TU973,Dubai,Paris,2026-08-30,408.92,300
British Airways,BR971,Singapore,Abu Dhabi,2026-04-22,537.85,125
British Airways,BR120,Beijing,Bangkok,2026-04-08,660.24,196
Qatar Airways,QA356,Mumbai,Sydney,2026-04-13,258.89,72
Emirates,EM406,Tokyo,London,2025-10-18,283.41,158
AirBlue,AI360,Doha,London,2025-11-26,706.7,144
SereneAir,SE583,Dubai,Istanbul,2026-02-09,110.9,125
Lufthansa,LU808,Abu Dhabi,Delhi,2025-10-10,748.84,209
Singapore Airlines,SI533,Lahore,Paris,2025-12-19,169.25,17
Etihad,ET442,Sydney,Delhi,2025-11-11,819.07,283
Turkish Airlines,TU890,Doha,Paris,2026-06-28,654.74,61
PIA,PI669,Doha,Dubai,2026-05-25,395.44,253
Emirates,EM409,Lahore,Cape Town,2026-06-01,741.94,41
PIA,PI520,Beijing,Lahore,2025-12-31,396.6,199
SereneAir,SE372,Abu Dhabi,Bangkok,2025-12-05,480.85,42
Singapore Airlines,SI827,Tokyo,Delhi,2026-05-14,755.9,228
Emirates,EM430,Paris,New York,2026-03-20,310.69,14
PIA,PI569,Paris,Istanbul,2025-10-31,126.14,94
SereneAir,SE593,Delhi,Singapore,2026-09-23,367.95,287
AirBlue,AI437,Sydney,Cape Town,2026-03-21,183.24,267
Emirates,EM798,London,Frankfurt,2026-06-29,227.3,202
Qatar Airways,QA889,Abu Dhabi,Karachi,2026-08-12,295.17,145
PIA,PI372,Islamabad,Cape Town,2026-05-10,653.81,275
AirBlue,AI564,Doha,London,2026-03-30,377.62,48
SereneAir,SE457,Karachi,Islamabad,2026-09-13,262.36,257
PIA,PI595,Beijing,Bangkok,2025-11-17,842.19,86
PIA,PI428,Delhi,Tokyo,2026-03-11,766.73,185
Etihad,ET734,Frankfurt,Istanbul,2025-12-27,469.64,264
Lufthansa,LU377,Islamabad,Doha,2026-01-13,131.57,85
Etihad,ET433,Doha,Tokyo,2026-03-22,349.36,30
Etihad,ET631,Abu Dhabi,Delhi,2026-09-23,394.29,116
Lufthansa,LU418,London,Karachi,2026-03-25,597.88,54
Lufthansa,LU520,Beijing,Abu Dhabi,2025-11-13,656.08,192
Etihad,ET504,Karachi,Singapore,2026-04-11,592.41,51
Qatar Airways,QA642,London,Karachi,2026-07-13,760.82,115
Emirates,EM114,London,Tokyo,2026-06-29,123.52,64
Lufthansa,LU709,Istanbul,Sydney,2026-05-21,570.73,150
Etihad,ET836,Paris,Singapore,2026-02-13,712.41,36
AirBlue,AI855,Beijing,Toronto,2025-11-08,633.21,241
PIA,PI828,Sydney,New York,2025-10-01,420.02,50
SereneAir,SE941,Tokyo,Abu Dhabi,2026-09-04,923.36,82
Etihad,ET619,Delhi,Tokyo,2026-05-26,923.79,143
Emirates,EM308,Sydney,Delhi,2026-06-11,823.12,24
Lufthansa,LU559,Islamabad,Bangkok,2025-12-28,802.92,101
British Airways,BR885,New York,Doha,2025-11-03,561.33,72
Turkish Airlines,TU917,Toronto,Abu Dhabi,2026-08-22,571.66,41
Qatar Airways,QA500,Sydney,Islamabad,2026-02-15,300.42,128
Lufthansa,LU720,Frankfurt,Lahore,2025-11-11,666.16,214
Etihad,ET179,Dubai,Mumbai,2025-12-30,620.77,157
Lufthansa,LU878,Toronto,Paris,2025-12-20,137.77,271
AirBlue,AI569,Abu Dhabi,Singapore,2026-09-03,783.95,195
Turkish Airlines,TU801,Sydney,Cape Town,2026-03-02,954.61,277
PIA,PI930,Mumbai,New York,2025-12-12,766.07,115
Turkish Airlines,TU171,Istanbul,Delhi,2026-04-13,350.39,136
Emirates,EM795,Islamabad,Bangkok,2026-06-22,153.55,84
Lufthansa,LU622,Beijing,Islamabad,2026-01-31,412.47,105
Qatar Airways,QA234,Paris,Lahore,2025-11-04,393.34,294
Turkish Airlines,TU460,Cape Town,Tokyo,2026-08-03,654.64,256
AirBlue,AI836,Karachi,Islamabad,2025-10-09,587.25,221
AirBlue,AI921,London,Singapore,2026-07-09,643.76,155
Qatar Airways,QA257,Tokyo,London,2026-03-21,263.32,281
Singapore Airlines,SI301,Tokyo,Singapore,2025-10-14,534.67,119
Turkish Airlines,TU946,Paris,Dubai,2026-04-28,207.44,21
SereneAir,SE562,London,Frankfurt,2026-08-26,860.87,95
Qatar Airways,QA507,Doha,Sydney,2026-04-22,805.51,44
Singapore Airlines,SI887,Delhi,Beijing,2025-12-23,577.02,223
British Airways,BR785,Frankfurt,Islamabad,2025-12-12,675.81,13
Qatar Airways,QA957,Bangkok,Karachi,2026-05-01,530.24,36
Emirates,EM586,Frankfurt,Lahore,2025-10-24,450.81,76
PIA,PI854,Islamabad,Bangkok,2025-10-25,366.89,27
PIA,PI122,Abu Dhabi,New York,2026-05-29,206.07,294
Singapore Airlines,SI242,London,Cape Town,2026-07-14,857.96,77
Turkish Airlines,TU868,Istanbul,Sydney,2026-02-22,778.84,33
SereneAir,SE267,Doha,Istanbul,2026-01-27,496.99,85
Emirates,EM699,New York,Beijing,2026-05-25,527.05,173
SereneAir,SE215,Beijing,Karachi,2026-09-07,438.69,204
PIA,PI331,Dubai,Frankfurt,2026-03-22,491.52,97
AirBlue,AI342,Istanbul,Tokyo,2026-02-20,311.88,95
Lufthansa,LU175,New York,Toronto,2026-05-02,611.11,112
AirBlue,AI158,Delhi,Mumbai,2026-06-16,820.37,121
Turkish Airlines,TU451,Abu Dhabi,Delhi,2025-10-15,522.09,194
British Airways,BR164,Sydney,Lahore,2025-11-26,258.42,189
SereneAir,SE401,Toronto,Tokyo,2025-10-16,436.88,266
Turkish Airlines,TU235,Paris,Sydney,2025-10-24,806.22,72
Emirates,EM287,Karachi,Mumbai,2026-05-17,453.7,36
Lufthansa,LU363,Cape Town,Singapore,2026-05-10,610.39,97
Lufthansa,LU291,Tokyo,Doha,2026-04-05,564.66,216
British Airways,BR240,Istanbul,Sydney,2026-07-20,361.72,68
Lufthansa,LU292,Doha,Singapore,2026-04-19,898.13,116
PIA,PI240,New York,Bangkok,2025-11-21,172.44,280
Singapore Airlines,SI393,Istanbul,Sydney,2025-11-13,973.86,175
Singapore Airlines,SI343,Istanbul,Lahore,2026-06-12,644.28,297
Turkish Airlines,TU393,Lahore,Istanbul,2025-11-25,954.78,10
Etihad,ET785,Tokyo,Islamabad,2026-03-06,849.43,250
Singapore Airlines,SI671,Toronto,Doha,2026-02-09,240.35,132
AirBlue,AI590,Paris,Lahore,2026-06-07,794.37,162
SereneAir,SE194,Lahore,Toronto,2026-04-09,433.95,24
Turkish Airlines,TU899,Delhi,Cape Town,2026-02-07,429.94,92
SereneAir,SE794,London,Doha,2026-06-08,826.65,234
Qatar Airways,QA954,Frankfurt,Sydney,2026-04-01,392.31,147
AirBlue,AI348,Sydney,Istanbul,2026-03-23,528.18,85
Singapore Airlines,SI551,Tokyo,Beijing,2026-09-28,339.13,265
Qatar Airways,QA226,Toronto,Doha,2026-09-17,897.99,64
Emirates,EM422,Singapore,Bangkok,2026-06-05,953.66,183
Qatar Airways,QA557,Abu Dhabi,Islamabad,2026-02-27,820.54,229
AirBlue,AI463,Tokyo,Lahore,2026-06-10,729.14,282
Lufthansa,LU206,Paris,Istanbul,2026-05-17,913.27,220
PIA,PI842,Lahore,Cape Town,2025-12-07,381.54,241
Lufthansa,LU451,Abu Dhabi,Frankfurt,2026-09-27,839.77,161
British Airways,BR154,Cape Town,Sydney,2025-11-14,581.22,167
Emirates,EM522,Frankfurt,Toronto,2025-12-26,650.68,130
PIA,PI875,London,Singapore,2025-10-22,733.17,259
British Airways,BR437,Sydney,Lahore,2026-08-04,945.5,243
SereneAir,SE155,Bangkok,Istanbul,2025-10-21,328.59,165
AirBlue,AI934,Frankfurt,London,2026-06-04,898.15,118
PIA,PI176,Islamabad,Bangkok,2026-08-30,321.74,17
Etihad,ET841,Karachi,Beijing,2025-11-03,154.1,88
Emirates,EM732,Tokyo,Paris,2026-07-25,493.05,253
PIA,PI673,Lahore,Istanbul,2025-12-26,200.24,289
Singapore Airlines,SI411,London,Sydney,2025-11-09,883.01,204
British Airways,BR186,Abu Dhabi,New York,2026-03-18,502.48,167
SereneAir,SE378,Lahore,London,2026-03-17,359.65,129
PIA,PI768,Paris,Singapore,2026-08-19,163.99,93
Qatar Airways,QA251,Bangkok,Beijing,2025-10-28,369.84,216
British Airways,BR662,Istanbul,Lahore,2025-12-07,328.91,248
Lufthansa,LU552,Abu Dhabi,Frankfurt,2025-11-29,242.4,191
AirBlue,AI365,Paris,Lahore,2026-01-22,556.94,35
Singapore Airlines,SI386,Doha,Frankfurt,2026-02-07,890.42,131
Lufthansa,LU192,London,Sydney,2026-01-21,355.33,224
AirBlue,AI752,Istanbul,Mumbai,2026-06-14,395.65,108
Lufthansa,LU581,London,Sydney,2026-01-24,809.72,181
Turkish Airlines,TU581,Karachi,Islamabad,2026-04-19,955.74,298
AirBlue,AI383,Bangkok,Karachi,2026-04-15,423.57,92
AirBlue,AI364,Tokyo,Bangkok,2026-01-30,937.91,298
Qatar Airways,QA749,Dubai,Toronto,2026-04-17,870.62,292
British Airways,BR132,Abu Dhabi,Toronto,2026-09-15,223.5,88
Lufthansa,LU527,Lahore,Singapore,2026-02-08,589.78,113
Turkish Airlines,TU817,Beijing,Cape Town,2026-06-13,976.34,122
British Airways,BR272,Sydney,Beijing,2026-06-19,730.15,165
Etihad,ET587,Dubai,Frankfurt,2026-04-30,902.28,140
SereneAir,SE739,Bangkok,Frankfurt,2026-03-15,161.51,268
Lufthansa,LU682,New York,Istanbul,2026-02-22,914.73,10
Turkish Airlines,TU149,Islamabad,Tokyo,2026-05-03,330.7,157
Singapore Airlines,SI332,Sydney,Abu Dhabi,2026-04-18,364.62,212
Emirates,EM873,Bangkok,Beijing,2026-03-11,943.76,85
SereneAir,SE617,Beijing,Karachi,2026-01-19,190.94,57
AirBlue,AI369,Delhi,London,2025-12-20,124.58,93
Etihad,ET492,Beijing,Paris,2026-03-29,681.35,75
Lufthansa,LU743,Beijing,Karachi,2026-05-30,896.56,53
British Airways,BR192,Islamabad,Tokyo,2025-11-25,968.98,61
SereneAir,SE557,Bangkok,Frankfurt,2025-12-19,829.12,141
Turkish Airlines,TU111,Islamabad,Abu Dhabi,2026-03-02,703.92,290
SereneAir,SE899,Cape Town,Toronto,2026-01-10,214.77,238
Etihad,ET653,Istanbul,Tokyo,2026-06-23,544.69,258
Turkish Airlines,TU337,New York,Karachi,2026-01-31,370.07,250
PIA,PI118,Islamabad,Mumbai,2025-10-31,338.21,23
Lufthansa,LU346,Mumbai,Toronto,2026-05-29,500.99,50
Lufthansa,LU750,New York,Delhi,2026-08-18,950.85,114
Turkish Airlines,TU750,Cape Town,Toronto,2026-06-16,259.21,162
Etihad,ET255,New York,Cape Town,2026-09-24,713.81,246
Etihad,ET910,Cape Town,Istanbul,2026-01-30,111.74,299
PIA,PI450,London,Istanbul,2025-10-07,383.56,188
Emirates,EM692,Toronto,Abu Dhabi,2025-11-16,679.69,118
Emirates,EM752,London,Singapore,2026-02-01,918.27,181
Etihad,ET606,New York,Islamabad,2026-09-19,247.0,258
PIA,PI387,Lahore,London,2026-08-23,120.54,73
